bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,8.088059,6.642812,32317690,32317690,31.965828,38.920495,0.708863,0.990466
100,0.5,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,18.618248,16.133292,32317690,32317690,13.886458,16.025341,0.299118,0.994913
100,1.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,26.365860,24.461800,32317690,32317690,9.805920,10.569194,0.203751,0.998599
100,1.5,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,39.577938,32.059858,32317690,32317690,6.532466,8.064338,0.145968,0.989106
100,2.0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,41.543813,38.605112,32317690,32317690,6.223346,6.697080,0.129204,0.998657
