bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,9.034112,10.144139,32317690,32317690,28.618366,25.486789,0.541052,0.996661
100,0,10,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.962000,12.804498,32317690,32317690,32.471933,20.191461,0.526634,0.948428
100,0,15,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,10.336155,12.181602,32317690,32317690,25.013316,21.223933,0.462372,0.993328
100,0,20,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,9.524061,13.508620,32317690,32317690,27.146142,19.139003,0.462851,0.970942
100,0,25,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.900837,15.379637,32317690,32317690,32.723307,16.810638,0.495339,0.906454
