2025-11-05 04:23:54 - DEBUG - RECV: Data seq=44840 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=41300 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=46020 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=41300 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Data seq=41300 size=1180 bytes
2025-11-05 04:23:54 - DEBUG - SEND: ACK seq=47200 (next expected)
2025-11-05 04:23:54 - DEBUG - RECV: Duplicate data seq=42480, SEND: ACK seq=47200
2025-11-05 04:23:54 - DEBUG - RECV: Duplicate data seq=43660, SEND: ACK seq=47200
2025-11-05 04:23:55 - DEBUG - RECV: Duplicate data seq=41300, SEND: ACK seq=47200
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=47200 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=48380 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=48380 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=49560 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=49560 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=50740 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=50740 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=51920 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=51920 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=53100 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Duplicate data seq=47200, SEND: ACK seq=53100
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=53100 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=54280 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=54280 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=55460 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=55460 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=56640 (next expected)
2025-11-05 04:23:55 - DEBUG - RECV: Data seq=56640 size=1180 bytes
2025-11-05 04:23:55 - DEBUG - SEND: ACK seq=57820 (next expected)
