Server listening on 10.0.0.3:6555
Initial congestion window: 1180 bytes
Waiting for client request...
Received request from ('10.0.0.1', 44419)
Starting file transfer: 32317690 bytes
Total packets to send: 27388
[ACK_SLOW_START] cwnd=65.000 ssthresh=inf last_max=1.000 ack=75520 acked=1180
[ACK_SLOW_START] cwnd=66.000 ssthresh=inf last_max=1.000 ack=76700 acked=1180
[ACK_SLOW_START] cwnd=67.000 ssthresh=inf last_max=1.000 ack=77880 acked=1180
[ACK_SLOW_START] cwnd=68.000 ssthresh=inf last_max=1.000 ack=79060 acked=1180
[ACK_SLOW_START] cwnd=69.000 ssthresh=inf last_max=1.000 ack=80240 acked=1180
[ACK_SLOW_START] cwnd=70.000 ssthresh=inf last_max=1.000 ack=81420 acked=1180
[ACK_SLOW_START] cwnd=71.000 ssthresh=inf last_max=1.000 ack=82600 acked=1180
[ACK_SLOW_START] cwnd=72.000 ssthresh=inf last_max=1.000 ack=83780 acked=1180
[ACK_SLOW_START] cwnd=73.000 ssthresh=inf last_max=1.000 ack=84960 acked=1180
[ACK_SLOW_START] cwnd=74.000 ssthresh=inf last_max=1.000 ack=86140 acked=1180
[ACK_SLOW_START] cwnd=75.000 ssthresh=inf last_max=1.000 ack=87320 acked=1180
[ACK_SLOW_START] cwnd=76.000 ssthresh=inf last_max=1.000 ack=88500 acked=1180
[ACK_SLOW_START] cwnd=77.000 ssthresh=inf last_max=1.000 ack=89680 acked=1180
[ACK_SLOW_START] cwnd=78.000 ssthresh=inf last_max=1.000 ack=90860 acked=1180
[ACK_SLOW_START] cwnd=79.000 ssthresh=inf last_max=1.000 ack=92040 acked=1180
[ACK_SLOW_START] cwnd=80.000 ssthresh=inf last_max=1.000 ack=93220 acked=1180
[ACK_SLOW_START] cwnd=81.000 ssthresh=inf last_max=1.000 ack=94400 acked=1180
[ACK_SLOW_START] cwnd=82.000 ssthresh=inf last_max=1.000 ack=95580 acked=1180
[ACK_SLOW_START] cwnd=83.000 ssthresh=inf last_max=1.000 ack=96760 acked=1180
[ACK_SLOW_START] cwnd=84.000 ssthresh=inf last_max=1.000 ack=97940 acked=1180
[ACK_SLOW_START] cwnd=85.000 ssthresh=inf last_max=1.000 ack=99120 acked=1180
[ACK_SLOW_START] cwnd=86.000 ssthresh=inf last_max=1.000 ack=100300 acked=1180
[ACK_SLOW_START] cwnd=87.000 ssthresh=inf last_max=1.000 ack=101480 acked=1180
[ACK_SLOW_START] cwnd=88.000 ssthresh=inf last_max=1.000 ack=102660 acked=1180
[ACK_SLOW_START] cwnd=89.000 ssthresh=inf last_max=1.000 ack=103840 acked=1180
[ACK_SLOW_START] cwnd=90.000 ssthresh=inf last_max=1.000 ack=105020 acked=1180
[ACK_SLOW_START] cwnd=91.000 ssthresh=inf last_max=1.000 ack=106200 acked=1180
[ACK_SLOW_START] cwnd=92.000 ssthresh=inf last_max=1.000 ack=107380 acked=1180
[ACK_SLOW_START] cwnd=93.000 ssthresh=inf last_max=1.000 ack=108560 acked=1180
[ACK_SLOW_START] cwnd=94.000 ssthresh=inf last_max=1.000 ack=109740 acked=1180
[ACK_SLOW_START] cwnd=95.000 ssthresh=inf last_max=1.000 ack=110920 acked=1180
[ACK_SLOW_START] cwnd=96.000 ssthresh=inf last_max=1.000 ack=112100 acked=1180
[ACK_SLOW_START] cwnd=97.000 ssthresh=inf last_max=1.000 ack=113280 acked=1180
[ACK_SLOW_START] cwnd=98.000 ssthresh=inf last_max=1.000 ack=114460 acked=1180
